"CT6SSi2";"CT6SSi1";"CT6SSi4b";"PT6SSi2";"PT6SSi1";"PT6SSi4b";"CMT6SSi2";"CMT6SSi1";"CMT6SSi4b";"PMT6Si2";"PMT6SSi1";"PMT6SSi4b";"CST6SSi2";"CST6SSi1";"CST6SSi4b";"PST6SSi2";"PST6SSi1";"PST6SSi4b";"clpV.tssH";"fha";"hcp1.tssD1";"hcp2.tssD2";"rhs.PAAR";"tssA";"tssB";"tssC";"tssF";"tssG";"tssJ";"tssK";"tssL";"tssM";"vgrG.tssI"
"CT6SSi2";1;-0.0592102389337521;0.0859009803154654;0.81502678968664;0.0631273030619596;0.0860727146226455;0.702035700633942;0.215718492802621;0.0857330807110932;0.646642449207659;0.390759719179456;0.0861324857570432;0.944094778309052;-0.0593625004177517;0.0858537460063964;0.81573003260977;0.0627068201005364;0.0861922996985711;-0.18317149913345;-0.198026923448112;-0.205194747640293;-0.207858339094214;-0.0759173320239246;-0.176244823876851;-0.245025365119373;-0.217054723164405;-0.203639618210362;-0.199984053995287;-0.224408585454821;-0.230102864038397;-0.228127807886928;-0.245122709120694;-0.152588818761516
"CT6SSi1";-0.0592102389337521;1;-0.00548621492119506;-0.155746110565366;0.732059135461209;-0.00628679876447828;-0.0251192284411582;0.149247302159974;-0.00562491018470762;-0.174252484594593;0.0362818492082996;-0.0062329598174656;-0.0395411635984646;0.999921130991056;-0.00551603841711311;-0.155371198328759;0.73221707709478;-0.00617908988701657;0.68140793857276;0.668013052858064;0.244577248477186;0.65793969774067;0.0404587871224832;0.295866323891193;0.5939432215373;0.645780995194395;0.669953591920375;0.676288637509015;0.634238063937187;0.625147092956998;0.627718379195977;0.588461347194595;0.440276384952608
"CT6SSi4b";0.0859009803154654;-0.00548621492119506;1;0.0610383332048272;0.00834204200879768;0.992462832672301;-0.0366726159819667;-0.00721015442594194;0.999390257713709;-0.0555277449061366;0.0121614278449086;0.992761108871323;0.0942136830665468;-0.00547754551747123;0.999390081097361;0.0611490559151369;0.00836605089911236;0.993059649567469;0.0415068017030839;0.00440647932473766;0.0693507732935166;0.00749604121032222;0.0327509868678434;0.0476026492939179;0.0105006480376274;0.00400666046576867;0.00334581648839334;-0.00293534315641092;-0.00064801997375318;0.00117045906497528;0.00163264127106964;0.0237201748781798;-0.0299643331652514
"PT6SSi2";0.81502678968664;-0.155746110565366;0.0610383332048272;1;-0.0777266441804761;0.0610307070125747;0.57208295311972;0.181993513634368;0.0608871509448992;0.834076834607909;0.309405568865518;0.0610909895250986;0.769462536325147;-0.155871830604292;0.0610088459737513;0.999137897472183;-0.0780660756200023;0.061151312881208;-0.27787538012955;-0.289534028091031;-0.296183065483029;-0.302168761395556;-0.0834866717335794;-0.187463127225206;-0.347344986668464;-0.313312941312961;-0.295671810417313;-0.291511319831382;-0.321105538427838;-0.327993039682512;-0.325499892536506;-0.348982766502894;-0.218755200407109
"PT6SSi1";0.0631273030619596;0.732059135461209;0.00834204200879768;-0.0777266441804761;1;0.00801273451971965;0.00778665249730353;0.109285830400194;0.00820495968759992;-0.176947421255195;0.308474946859836;0.00809114040078134;0.0273669470184668;0.732001398682708;0.00836313161156173;-0.0778678938852429;0.99978429670857;0.00816959295476896;0.663232057849451;0.749906177344323;0.21178743325947;0.733106413171852;0.063896809433409;0.299033258871162;0.645261663837052;0.710916978728306;0.740326869474837;0.75064367185026;0.699156385362712;0.688756643298425;0.692478995955679;0.638189951640938;0.3591743869425
"PT6SSi4b";0.0860727146226455;-0.00628679876447828;0.992462832672301;0.0610307070125747;0.00801273451971965;1;-0.0367998240593757;-0.00736541089576507;0.991857569673236;-0.0558394445388857;0.0123580365721213;0.999699548867945;0.0944315583048108;-0.0062780749798888;0.991857510830487;0.0611420936602922;0.00803693569362539;0.999399012037766;0.0411399963182773;0.00401181322576722;0.0695019786839725;0.00704188798365311;0.033201725119439;0.047725622697188;0.0101587712857921;0.00354870418649417;0.00280599371433052;-0.0032797269892812;-0.00109441312970892;0.00069113326191302;0.00115681875026117;0.0232688775014086;-0.0303898096322407
"CMT6SSi2";0.702035700633942;-0.0251192284411582;-0.0366726159819667;0.57208295311972;0.00778665249730353;-0.0367998240593757;1;0.220125502865082;-0.0366726159819667;0.685978904679863;0.228357894657549;-0.0367862531950476;0.741411630403587;-0.0252373879924517;-0.0366453621971415;0.572577552953549;0.00738373546009206;-0.0367726777035613;-0.142848349645769;-0.145733035607036;-0.166745429369542;-0.152685361091219;-0.0694028118799747;-0.108946073534014;-0.181642926855391;-0.159398317109161;-0.149730915549112;-0.14717075783406;-0.16449283895563;-0.168232786732134;-0.166571819584855;-0.184542758219493;-0.0878592063939064
"CMT6SSi1";0.215718492802621;0.149247302159974;-0.00721015442594194;0.181993513634368;0.109285830400194;-0.00736541089576507;0.220125502865082;1;-0.00721015442594194;0.161201310176049;0.354488965421516;-0.00735923641355562;0.183710524645048;0.14887657498551;-0.00719765252842636;0.181740477061244;0.109309469565404;-0.00735305897853706;-0.113250155817475;-0.11526398109268;-0.119389754985898;-0.117715852926246;-0.0313228470572334;-0.105035813607992;-0.127746938549537;-0.119934499998191;-0.116491995173447;-0.115517850313388;-0.121562609354546;-0.122983743869828;-0.122481514095422;-0.128551463575878;-0.0793044647063477
"CMT6SSi4b";0.0857330807110932;-0.00562491018470762;0.999390257713709;0.0608871509448992;0.00820495968759992;0.991857569673236;-0.0366726159819667;-0.00721015442594194;1;-0.0555277449061366;0.0121614278449086;0.992155668625608;0.0940398486462892;-0.005616242874997;0.998779976080676;0.0609978168832749;0.00822897205167745;0.992454031916529;0.0413701932360419;0.00427005048873931;0.0692145765642513;0.00735977793954587;0.0324678810710677;0.0474648219372266;0.010364425126465;0.00387048149098105;0.0032094753001709;-0.00307175253966888;-0.000784162883168317;0.00103432742136359;0.00149650775428864;0.0235839122451072;-0.0301137106257989
"PMT6Si2";0.646642449207659;-0.174252484594593;-0.0555277449061366;0.834076834607909;-0.176947421255195;-0.0558394445388857;0.685978904679863;0.161201310176049;-0.0555277449061366;1;0.164712504003339;-0.0558204233823414;0.691280718573574;-0.174327654656703;-0.0554894861705301;0.834180115636278;-0.177315007592978;-0.0558013961253169;-0.293700932543283;-0.297641217327545;-0.322774806600086;-0.308075430328561;-0.104787617463862;-0.17676514740821;-0.350227391928727;-0.317637419986004;-0.303348745554486;-0.299561838436015;-0.324711741171431;-0.330428522681439;-0.328108577901841;-0.354156095051232;-0.200081708054131
"PMT6SSi1";0.390759719179456;0.0362818492082996;0.0121614278449086;0.309405568865518;0.308474946859836;0.0123580365721213;0.228357894657549;0.354488965421516;0.0121614278449086;0.164712504003339;1;0.0123851179521782;0.275898941147088;0.0360593987641746;0.0122159489641198;0.308374528617882;0.307899412515404;0.0124122163198159;-0.319135284481544;-0.324806244992351;-0.336473761215637;-0.332112707722153;-0.0873106325434347;-0.282207738872359;-0.360008881618956;-0.338056878123429;-0.328362634210068;-0.325521149128939;-0.342543687496258;-0.346545796600972;-0.34513144570794;-0.362529200994684;-0.224052803708049
"PMT6SSi4b";0.0861324857570432;-0.0062329598174656;0.992761108871323;0.0610909895250986;0.00809114040078134;0.999699548867945;-0.0367862531950476;-0.00735923641355562;0.992155668625608;-0.0558204233823414;0.0123851179521782;1;0.0944918448766236;-0.00622423786960789;0.992155605105218;0.0612023722296606;0.00811533225555047;0.9990980281343;0.0412142037412132;0.00407625196187564;0.069587857613408;0.00710862692588026;0.0332287638892167;0.0477973251226403;0.0102318539696085;0.00361556785817183;0.00287075256767799;-0.00321728434741865;-0.00102801654321003;0.000758831883894692;0.00122437839089996;0.0233463091731;-0.0303550786554915
"CST6SSi2";0.944094778309052;-0.0395411635984646;0.0942136830665468;0.769462536325147;0.0273669470184668;0.0944315583048108;0.741411630403587;0.183710524645048;0.0940398486462892;0.691280718573574;0.275898941147088;0.0944918448766236;1;-0.0396625495421472;0.0941615610162725;0.770126464296756;0.0269225657887074;0.0945521753130825;-0.146723163674846;-0.161341336250099;-0.167200626655965;-0.170544643264696;-0.06672446011974;-0.142731006838778;-0.205275194270226;-0.179273592500585;-0.166687541333015;-0.16327154059892;-0.186271020669315;-0.191628553214177;-0.189773822688791;-0.205023953969489;-0.127854544515681
"CST6SSi1";-0.0593625004177517;0.999921130991056;-0.00547754551747123;-0.155871830604292;0.732001398682708;-0.0062780749798888;-0.0252373879924517;0.14887657498551;-0.005616242874997;-0.174327654656703;0.0360593987641746;-0.00622423786960789;-0.0396625495421472;1;-0.00550737480181586;-0.155497019155427;0.732159327859577;-0.00617036977617854;0.681489425962388;0.668095602583301;0.244655996028859;0.65802371371862;0.0404792320406324;0.295936912095924;0.594032492090878;0.645866142184968;0.670036942081283;0.676371471596223;0.634324059078839;0.6252338433042;0.627804852967024;0.588551118913487;0.440333007600454
"CST6SSi4b";0.0858537460063964;-0.00551603841711311;0.999390081097361;0.0610088459737513;0.00836313161156173;0.991857510830487;-0.0366453621971415;-0.00719765252842636;0.998779976080676;-0.0554894861705301;0.0122159489641198;0.992155605105218;0.0941615610162725;-0.00550737480181586;1;0.0611195040591619;0.00838712519504222;0.992453963715751;0.0415200816367871;0.00440009338543202;0.0692515352954286;0.00749450640365706;0.0328053687712317;0.0476094005650376;0.0103755827411963;0.00400544725147288;0.00334024410863455;-0.00294579671789774;-0.000650167142845057;0.00117097527583739;0.0016328756051939;0.0237402654092943;-0.0300436918863259
"PST6SSi2";0.81573003260977;-0.155371198328759;0.0611490559151369;0.999137897472183;-0.0778678938852429;0.0611420936602922;0.572577552953549;0.181740477061244;0.0609978168832749;0.834180115636278;0.308374528617882;0.0612023722296606;0.770126464296756;-0.155497019155427;0.0611195040591619;1;-0.0782076163220978;0.0612626916503707;-0.277265460712295;-0.288915800669197;-0.295541343877233;-0.3015390435323;-0.0833190490359445;-0.187109505844341;-0.346669826973709;-0.312674220524462;-0.295048151873869;-0.290892235658471;-0.320459487034675;-0.327340621601023;-0.324849702265353;-0.348302363891615;-0.218335998918324
"PST6SSi1";0.0627068201005364;0.73221707709478;0.00836605089911236;-0.0780660756200023;0.99978429670857;0.00803693569362539;0.00738373546009206;0.109309469565404;0.00822897205167745;-0.177315007592978;0.307899412515404;0.00811533225555047;0.0269225657887074;0.732159327859577;0.00838712519504222;-0.0782076163220978;1;0.00819377548712736;0.663412283378923;0.75008770596984;0.211989767881753;0.733292845988313;0.0639500775864993;0.299208660146336;0.645467537656223;0.711107611722961;0.740510774835529;0.750825622947759;0.69935014576383;0.688953136965336;0.692674522488499;0.638397620587777;0.35930358336716
"PST6SSi4b";0.0861922996985711;-0.00617908988701657;0.993059649567469;0.061151312881208;0.00816959295476896;0.999399012037766;-0.0367726777035613;-0.00735305897853706;0.992454031916529;-0.0558013961253169;0.0124122163198159;0.9990980281343;0.0945521753130825;-0.00617036977617854;0.992453963715751;0.0612626916503707;0.00819377548712736;1;0.0412884583705783;0.00414072882405188;0.0694032423145453;0.00717540561603166;0.0332558215054024;0.0475952838498333;0.0103049804007128;0.00368247103516496;0.00293554962571505;-0.00315480540826398;-0.000961581144757768;0.000826570242243879;0.00129197772854548;0.0234237883256049;-0.0303203300716528
"clpV.tssH";-0.18317149913345;0.68140793857276;0.0415068017030839;-0.27787538012955;0.663232057849451;0.0411399963182773;-0.142848349645769;-0.113250155817475;0.0413701932360419;-0.293700932543283;-0.319135284481544;0.0412142037412132;-0.146723163674846;0.681489425962388;0.0415200816367871;-0.277265460712295;0.663412283378923;0.0412884583705783;1;0.846622355253906;0.440300833466893;0.819919810143532;0.0922192291350225;0.481574452251055;0.787627259096638;0.806179104088862;0.828513440997327;0.837578006007709;0.858519865729871;0.875708179329025;0.882377432686265;0.855962464263822;0.420816956643328
"fha";-0.198026923448112;0.668013052858064;0.00440647932473766;-0.289534028091031;0.749906177344323;0.00401181322576722;-0.145733035607036;-0.11526398109268;0.00427005048873931;-0.297641217327545;-0.324806244992351;0.00407625196187564;-0.161341336250099;0.668095602583301;0.00440009338543202;-0.288915800669197;0.75008770596984;0.00414072882405188;0.846622355253906;1;0.451387887345194;0.927970509728228;0.121808946197867;0.471507009533503;0.869249502957483;0.928162395797594;0.954388368782687;0.970976586331076;0.937092588784938;0.919080814508155;0.913081496862777;0.863152328013073;0.482802355407935
"hcp1.tssD1";-0.205194747640293;0.244577248477186;0.0693507732935166;-0.296183065483029;0.21178743325947;0.0695019786839725;-0.166745429369542;-0.119389754985898;0.0692145765642513;-0.322774806600086;-0.336473761215637;0.069587857613408;-0.167200626655965;0.244655996028859;0.0692515352954286;-0.295541343877233;0.211989767881753;0.0694032423145453;0.440300833466893;0.451387887345194;1;0.447489491502823;0.183633963066175;0.401353220345301;0.534488079134624;0.482706898997496;0.460622030686346;0.453158630123041;0.503765850490468;0.515699181589104;0.511459477010211;0.560708792627369;0.306030644798884
"hcp2.tssD2";-0.207858339094214;0.65793969774067;0.00749604121032222;-0.302168761395556;0.733106413171852;0.00704188798365311;-0.152685361091219;-0.117715852926246;0.00735977793954587;-0.308075430328561;-0.332112707722153;0.00710862692588026;-0.170544643264696;0.65802371371862;0.00749450640365706;-0.3015390435323;0.733292845988313;0.00717540561603166;0.819919810143532;0.927970509728228;0.447489491502823;1;0.131767710988169;0.46717095372601;0.903233094923968;0.945679902699968;0.939478349406007;0.935860615835088;0.888701699493099;0.87447553667563;0.876330787102028;0.83472054920056;0.515624433113994
"rhs.PAAR";-0.0759173320239246;0.0404587871224832;0.0327509868678434;-0.0834866717335794;0.063896809433409;0.033201725119439;-0.0694028118799747;-0.0313228470572334;0.0324678810710677;-0.104787617463862;-0.0873106325434347;0.0332287638892167;-0.06672446011974;0.0404792320406324;0.0328053687712317;-0.0833190490359445;0.0639500775864993;0.0332558215054024;0.0922192291350225;0.121808946197867;0.183633963066175;0.131767710988169;1;0.0263278053359767;0.147119801970799;0.128195476607334;0.115352870253001;0.119456387763046;0.111753258930059;0.111171273630994;0.110576760679305;0.102096085261934;0.131379999640364
"tssA";-0.176244823876851;0.295866323891193;0.0476026492939179;-0.187463127225206;0.299033258871162;0.047725622697188;-0.108946073534014;-0.105035813607992;0.0474648219372266;-0.17676514740821;-0.282207738872359;0.0477973251226403;-0.142731006838778;0.295936912095924;0.0476094005650376;-0.187109505844341;0.299208660146336;0.0475952838498333;0.481574452251055;0.471507009533503;0.401353220345301;0.46717095372601;0.0263278053359767;1;0.409794947323329;0.457566997807536;0.459716867582599;0.474346210016262;0.530081078352134;0.516612840644404;0.518449831802694;0.583762489007763;0.552511869950744
"tssB";-0.245025365119373;0.5939432215373;0.0105006480376274;-0.347344986668464;0.645261663837052;0.0101587712857921;-0.181642926855391;-0.127746938549537;0.010364425126465;-0.350227391928727;-0.360008881618956;0.0102318539696085;-0.205275194270226;0.594032492090878;0.0103755827411963;-0.346669826973709;0.645467537656223;0.0103049804007128;0.787627259096638;0.869249502957483;0.534488079134624;0.903233094923968;0.147119801970799;0.409794947323329;1;0.897497159895444;0.877381064940351;0.872610811922334;0.822369015811414;0.839940954322575;0.840786632537671;0.801601892919597;0.469153517378641
"tssC";-0.217054723164405;0.645780995194395;0.00400666046576867;-0.313312941312961;0.710916978728306;0.00354870418649417;-0.159398317109161;-0.119934499998191;0.00387048149098105;-0.317637419986004;-0.338056878123429;0.00361556785817183;-0.179273592500585;0.645866142184968;0.00400544725147288;-0.312674220524462;0.711107611722961;0.00368247103516496;0.806179104088862;0.928162395797594;0.482706898997496;0.945679902699968;0.128195476607334;0.457566997807536;0.897497159895444;1;0.954702130219217;0.936374563811998;0.885277795241306;0.865688059012606;0.86274926701135;0.823511661927934;0.483576913799138
"tssF";-0.203639618210362;0.669953591920375;0.00334581648839334;-0.295671810417313;0.740326869474837;0.00280599371433052;-0.149730915549112;-0.116491995173447;0.0032094753001709;-0.303348745554486;-0.328362634210068;0.00287075256767799;-0.166687541333015;0.670036942081283;0.00334024410863455;-0.295048151873869;0.740510774835529;0.00293554962571505;0.828513440997327;0.954388368782687;0.460622030686346;0.939478349406007;0.115352870253001;0.459716867582599;0.877381064940351;0.954702130219217;1;0.96572069019694;0.911969000041344;0.892569728598954;0.888108651156983;0.844644935941846;0.472299886756627
"tssG";-0.199984053995287;0.676288637509015;-0.00293534315641092;-0.291511319831382;0.75064367185026;-0.0032797269892812;-0.14717075783406;-0.115517850313388;-0.00307175253966888;-0.299561838436015;-0.325521149128939;-0.00321728434741865;-0.16327154059892;0.676371471596223;-0.00294579671789774;-0.290892235658471;0.750825622947759;-0.00315480540826398;0.837578006007709;0.970976586331076;0.453158630123041;0.935860615835088;0.119456387763046;0.474346210016262;0.872610811922334;0.936374563811998;0.96572069019694;1;0.931109052567359;0.907897541499742;0.901268329456666;0.857567777462076;0.48579600501676
"tssJ";-0.224408585454821;0.634238063937187;-0.00064801997375318;-0.321105538427838;0.699156385362712;-0.00109441312970892;-0.16449283895563;-0.121562609354546;-0.000784162883168317;-0.324711741171431;-0.342543687496258;-0.00102801654321003;-0.186271020669315;0.634324059078839;-0.000650167142845057;-0.320459487034675;0.69935014576383;-0.000961581144757768;0.858519865729871;0.937092588784938;0.503765850490468;0.888701699493099;0.111753258930059;0.530081078352134;0.822369015811414;0.885277795241306;0.911969000041344;0.931109052567359;1;0.96851698520133;0.960954478361425;0.908104429544134;0.45921384697723
"tssK";-0.230102864038397;0.625147092956998;0.00117045906497528;-0.327993039682512;0.688756643298425;0.00069113326191302;-0.168232786732134;-0.122983743869828;0.00103432742136359;-0.330428522681439;-0.346545796600972;0.000758831883894692;-0.191628553214177;0.6252338433042;0.00117097527583739;-0.327340621601023;0.688953136965336;0.000826570242243879;0.875708179329025;0.919080814508155;0.515699181589104;0.87447553667563;0.111171273630994;0.516612840644404;0.839940954322575;0.865688059012606;0.892569728598954;0.907897541499742;0.96851698520133;1;0.98926432435977;0.932496177384153;0.448746055577404
"tssL";-0.228127807886928;0.627718379195977;0.00163264127106964;-0.325499892536506;0.692478995955679;0.00115681875026117;-0.166571819584855;-0.122481514095422;0.00149650775428864;-0.328108577901841;-0.34513144570794;0.00122437839089996;-0.189773822688791;0.627804852967024;0.0016328756051939;-0.324849702265353;0.692674522488499;0.00129197772854548;0.882377432686265;0.913081496862777;0.511459477010211;0.876330787102028;0.110576760679305;0.518449831802694;0.840786632537671;0.86274926701135;0.888108651156983;0.901268329456666;0.960954478361425;0.98926432435977;1;0.935380858516364;0.448122845129155
"tssM";-0.245122709120694;0.588461347194595;0.0237201748781798;-0.348982766502894;0.638189951640938;0.0232688775014086;-0.184542758219493;-0.128551463575878;0.0235839122451072;-0.354156095051232;-0.362529200994684;0.0233463091731;-0.205023953969489;0.588551118913487;0.0237402654092943;-0.348302363891615;0.638397620587777;0.0234237883256049;0.855962464263822;0.863152328013073;0.560708792627369;0.83472054920056;0.102096085261934;0.583762489007763;0.801601892919597;0.823511661927934;0.844644935941846;0.857567777462076;0.908104429544134;0.932496177384153;0.935380858516364;1;0.453132688835664
"vgrG.tssI";-0.152588818761516;0.440276384952608;-0.0299643331652514;-0.218755200407109;0.3591743869425;-0.0303898096322407;-0.0878592063939064;-0.0793044647063477;-0.0301137106257989;-0.200081708054131;-0.224052803708049;-0.0303550786554915;-0.127854544515681;0.440333007600454;-0.0300436918863259;-0.218335998918324;0.35930358336716;-0.0303203300716528;0.420816956643328;0.482802355407935;0.306030644798884;0.515624433113994;0.131379999640364;0.552511869950744;0.469153517378641;0.483576913799138;0.472299886756627;0.48579600501676;0.45921384697723;0.448746055577404;0.448122845129155;0.453132688835664;1
